	Unnamed: 0	FileName	Seafood	Oyster	Crab	Salad	Squid	Shrimp	Lobster	Carrot	Cabbage	Pumpkin	Squash	Tomato	Potato	Radish	Cucumber	Mushroom	Bread	Egg	Pork	Beef	Chicken	Tuna	Salmon	IndexFile
0	0	meta00001.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	00001
1	1	meta00002.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	00002
2	2	meta00003.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	00003
3	3	meta00004.json	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	00004
4	4	meta00005.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	00005
5	5	meta00006.json	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	00006
6	6	meta00007.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	00007
7	7	meta00008.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	00008
8	8	meta00009.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	00009
9	9	meta00010.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00010
10	10	meta00011.json	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	00011
11	11	meta00012.json	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	00012
12	12	meta00013.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	True	False	False	00013
13	13	meta00014.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	00014
14	14	meta00015.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	00015
15	15	meta00016.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	00016
16	16	meta00017.json	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00017
17	17	meta00018.json	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00018
18	18	meta00021.json	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	00021
19	19	meta00022.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	False	False	False	00022
20	20	meta00023.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	00023
21	21	meta00024.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	00024
22	22	meta00026.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00026
23	23	meta00028.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	00028
24	24	meta00030.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00030
25	25	meta00033.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	00033
26	26	meta00034.json	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	00034
27	27	meta00035.json	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	00035
28	28	meta00036.json	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	00036
29	29	meta00037.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	00037
30	30	meta00038.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00038
31	31	meta00039.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	00039
32	32	meta00040.json	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	00040
